step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,114,2397.0,10.376623376623376,5.734062612118744,26,871.0,0.14232350644161798,2,5.0,0.5648666083399579,0,0.0,0.9714914018135258,5,31.0,0.3606817637635749,22,578.0,0.26980812658991454,2,15.0,0.7043780713556014,0,8.0,0.9245866974371514,0,0.0,0.8402998404549027,4,13.0,0.36472658751481773,0,0.0,0.8481037694759423,21,521.0,0.16466131715613916,0,4.0,0.9090048258451597,5,173.0,0.3816503633471925,0,0.0,0.8041187675525469,12,143.0,0.35301229652865534,15,319.0,0.0,114,2681.0
110.0,119,2877.0,11.647773279352228,5.429414062279063,28,1008.0,0.14262409451522734,3,17.0,0.516299058714022,0,0.0,1.0,5,56.0,0.16040772284429658,23,691.0,0.21721139447337187,0,0.0,0.6119012103778645,1,6.0,0.5099061410640388,0,0.0,0.5975243921024915,5,39.0,0.48229884787740857,1,3.0,0.7435613979780323,22,630.0,0.162513062688088,0,0.0,0.9278690044440412,0,80.0,0.6594001159876897,2,9.0,0.7131074824148249,14,205.0,0.33475167651235055,15,394.0,0.15676645079338006,119,3138.0
115.0,127,3458.0,13.66798418972332,5.289729186426203,30,1153.0,0.13389200835853504,0,6.0,0.5752530718048253,0,0.0,1.0,5,85.0,0.13216216463504105,25,814.0,0.17426977484445577,0,0.0,0.4921739397927971,6,28.0,0.13699212923782836,0,0.0,0.7119612484350875,5,62.0,0.42699741777264205,1,1.0,0.7414629030829007,24,746.0,0.17985670664781506,0,4.0,0.46145431604254183,1,5.0,0.5628905607919445,0,4.0,0.8236097316538322,15,278.0,0.2955622508499629,15,469.0,0.2558064622705243,127,3655.0
120.0,133,4017.0,15.75294117647059,5.024831158121535,31,1306.0,0.11595489873427203,0,0.0,0.9210008095579598,0,4.0,0.5435087871656921,0,57.0,0.6536507332249498,27,946.0,0.17059798242607677,0,0.0,0.9883522020507935,6,58.0,0.0,0,0.0,0.9419828242403051,6,91.0,0.38995487764278974,3,10.0,0.5511860221198452,26,871.0,0.12228506410952805,0,4.0,0.8849360125431504,0,3.0,0.3433653113100884,2,7.0,0.5348215930637045,17,359.0,0.19801402580821775,15,544.0,0.1814505126062267,133,4260.0
125.0,126,4095.0,16.18577075098814,4.761414883073123,33,1470.0,0.10879362371008117,0,0.0,0.8263788600711408,0,8.0,0.7639129960892425,0,4.0,0.8861611223915914,29,1086.0,0.11405628027194334,0,0.0,0.9661031246970497,0,46.0,0.14212387167463497,0,2.0,0.4095146213783445,6,121.0,0.3126953746191509,0,7.0,0.6184755548364668,28,1008.0,0.11958857129280571,0,4.0,0.8985761461302845,0,0.0,0.6528977728577078,7,34.0,0.10834374906964375,13,357.0,0.2243739797472756,10,502.0,0.0749839020101173,126,4649.0
130.0,126,4198.0,16.995951417004047,5.09154496018301,35,1642.0,0.09751842214133523,1,2.0,0.5703646585913077,0,8.0,0.8624828660474231,0,0.0,0.6485903970387628,31,1237.0,0.03419048544403782,0,0.0,0.4841723068668147,0,0.0,1.0,0,4.0,0.8575255778291876,6,151.0,0.3907522131092822,0,0.0,0.9354972581435629,30,1154.0,0.13452954200581957,0,0.0,0.8150765082167477,0,0.0,0.956570554890148,11,82.0,0.3271677611105827,8,273.0,0.32227407357602994,4,249.0,0.4398224558873938,126,4802.0
135.0,115,4527.0,18.477551020408164,4.963130953384094,36,1822.0,0.07140580007199095,0,3.0,0.6321831864398595,0,2.0,0.8363514321586543,0,0.0,1.0,32,1401.0,0.03397252176905298,0,4.0,0.42947285766230636,0,0.0,0.8982104846363541,0,4.0,0.9448985384305973,0,107.0,0.5556961683974888,0,4.0,0.7835074552918968,32,1308.0,0.130490952766814,0,2.0,0.6405546989021841,0,0.0,0.9690238386284661,11,135.0,0.39433784446877373,2,251.0,0.34622925935731863,2,247.0,0.5244565021838944,115,5290.0
140.0,133,5151.0,20.12109375,4.71299816601788,36,2002.0,0.09574278096042357,0,0.0,0.8916245292831881,1,4.0,0.5618329108034527,0,0.0,0.9840189398477555,35,1570.0,0.1385294770232893,0,4.0,0.9054322883886441,0,0.0,0.8077443483856501,1,3.0,0.6136146128671687,1,3.0,0.5226267179158889,0,4.0,0.8508610334508458,33,1471.0,0.1055575426805171,0,2.0,0.9036942853167628,0,0.0,0.5710661344062775,11,188.0,0.28548491910708684,8,275.0,0.28498973349329065,7,260.0,0.3574772607134849,133,5786.0
145.0,155,5750.0,21.616541353383457,4.3201898657959665,36,2182.0,0.0980037387438641,0,0.0,0.8189193944658252,5,21.0,0.192726102808733,0,0.0,0.945857482022121,36,1748.0,0.15370089272487603,0,4.0,0.9298196915733882,0,0.0,0.8124008250024212,5,21.0,0.1545479335942271,0,2.0,0.772478376589826,2,9.0,0.6626518567763455,35,1643.0,0.07478590694351474,0,2.0,0.9234042520655198,2,8.0,0.19986730849221862,6,181.0,0.15953166483410497,15,336.0,0.26505077216709755,13,314.0,0.19094643180183357,155,6471.0
150.0,153,5822.0,21.562962962962963,4.425801376330165,31,2144.0,0.1113910799523303,2,7.0,0.4972618500230102,8,61.0,0.03853122626238609,0,0.0,0.9519432863246474,36,1924.0,0.074999610891544,0,0.0,0.8776041544585372,0,0.0,0.7794466071952819,1,19.0,0.3103874186594877,0,0.0,0.9603660148997494,1,9.0,0.49106239677879837,36,1823.0,0.07298864538901542,0,0.0,0.8658960410990161,0,3.0,0.9199365120190167,4,96.0,0.24257038977142922,20,428.0,0.1730903407330864,14,383.0,0.1638364549389744,153,6897.0
